"date","type_customer","n_trips"
2021-07-15,"member",11188
2021-07-15,"all",20524
2021-07-16,"casual",11668
2021-07-16,"member",11969
2021-07-16,"all",23637
2021-07-17,"casual",23206
2021-07-17,"member",13533
2021-07-17,"all",36739
2021-07-18,"casual",19780
2021-07-18,"member",11691
2021-07-18,"all",31471
2021-07-19,"casual",11260
2021-07-19,"member",12237
2021-07-19,"all",23497
2021-07-20,"casual",12128
2021-07-20,"member",13716
2021-07-20,"all",25844
2021-07-21,"casual",11315
2021-07-21,"member",13735
2021-07-21,"all",25050
2021-07-22,"casual",11857
2021-07-22,"member",13840
2021-07-22,"all",25697
2021-07-23,"casual",13518
2021-07-23,"member",12271
2021-07-23,"all",25789
2021-07-24,"casual",19650
2021-07-24,"member",11478
2021-07-24,"all",31128
2021-07-25,"casual",18843
2021-07-25,"member",11529
2021-07-25,"all",30372
2021-07-26,"casual",10957
2021-07-26,"member",12289
2021-07-26,"all",23246
2021-07-27,"casual",11267
2021-07-27,"member",13384
2021-07-27,"all",24651
2021-07-28,"casual",12464
2021-07-28,"member",13314
2021-07-28,"all",25778
2021-07-29,"casual",13211
2021-07-29,"member",12970
2021-07-29,"all",26181
2021-07-30,"casual",16254
2021-07-30,"member",12897
2021-07-30,"all",29151
2021-07-31,"casual",22542
2021-07-31,"member",12623
2021-07-31,"all",35165
2021-08-01,"casual",18686
2021-08-01,"member",10876
2021-08-01,"all",29562
2021-08-02,"casual",11047
2021-08-02,"member",11885
2021-08-02,"all",22932
2021-08-03,"casual",11253
2021-08-03,"member",13145
2021-08-03,"all",24398
2021-08-04,"casual",11389
2021-08-04,"member",13468
2021-08-04,"all",24857
2021-08-05,"casual",12368
2021-08-05,"member",13494
2021-08-05,"all",25862
2021-08-06,"casual",14162
2021-08-06,"member",12307
2021-08-06,"all",26469
2021-08-07,"casual",22412
2021-08-07,"member",12644
2021-08-07,"all",35056
2021-08-08,"casual",16576
2021-08-08,"member",10492
2021-08-08,"all",27068
2021-08-09,"casual",7441
2021-08-09,"member",9388
2021-08-09,"all",16829
2021-08-10,"casual",8822
2021-08-10,"member",11443
2021-08-10,"all",20265
2021-08-11,"casual",8877
2021-08-11,"member",12035
2021-08-11,"all",20912
2021-08-12,"casual",10811
2021-08-12,"member",12894
2021-08-12,"all",23705
2021-08-13,"casual",14512
2021-08-13,"member",13764
2021-08-13,"all",28276
2021-08-14,"casual",22721
2021-08-14,"member",14091
2021-08-14,"all",36812
2021-08-15,"casual",18748
2021-08-15,"member",12179
2021-08-15,"all",30927
2021-08-16,"casual",10611
2021-08-16,"member",12513
2021-08-16,"all",23124
2021-08-17,"casual",10741
2021-08-17,"member",13789
2021-08-17,"all",24530
2021-08-18,"casual",10956
2021-08-18,"member",13868
2021-08-18,"all",24824
2021-08-19,"casual",11480
2021-08-19,"member",13323
2021-08-19,"all",24803
2021-08-20,"casual",14956
2021-08-20,"member",12938
2021-08-20,"all",27894
2021-08-21,"casual",19324
2021-08-21,"member",11563
2021-08-21,"all",30887
2021-08-22,"casual",18222
2021-08-22,"member",11575
2021-08-22,"all",29797
2021-08-23,"casual",10568
2021-08-23,"member",12669
2021-08-23,"all",23237
2021-08-24,"casual",6708
2021-08-24,"member",10523
2021-08-24,"all",17231
2021-08-25,"casual",8274
2021-08-25,"member",12030
2021-08-25,"all",20304
2021-08-26,"casual",11691
2021-08-26,"member",14140
2021-08-26,"all",25831
2021-08-27,"casual",13967
2021-08-27,"member",13337
2021-08-27,"all",27304
2021-08-28,"casual",18124
2021-08-28,"member",12162
2021-08-28,"all",30286
2021-08-29,"casual",12917
2021-08-29,"member",10310
2021-08-29,"all",23227
2021-08-30,"casual",9483
2021-08-30,"member",12688
2021-08-30,"all",22171
2021-08-31,"casual",9162
2021-08-31,"member",13772
2021-08-31,"all",22934
2021-09-01,"casual",10198
2021-09-01,"member",14476
2021-09-01,"all",24674
2021-09-02,"casual",10839
2021-09-02,"member",13767
2021-09-02,"all",24606
2021-09-03,"casual",11760
2021-09-03,"member",11891
2021-09-03,"all",23651
2021-09-04,"casual",16921
2021-09-04,"member",10527
2021-09-04,"all",27448
2021-09-05,"casual",21366
2021-09-05,"member",10979
2021-09-05,"all",32345
2021-09-06,"casual",17725
2021-09-06,"member",10881
2021-09-06,"all",28606
2021-09-07,"casual",7627
2021-09-07,"member",11510
2021-09-07,"all",19137
2021-09-08,"casual",9676
2021-09-08,"member",14425
2021-09-08,"all",24101
2021-09-09,"casual",10393
2021-09-09,"member",14448
2021-09-09,"all",24841
2021-09-10,"casual",12635
2021-09-10,"member",13926
2021-09-10,"all",26561
2021-09-11,"casual",19266
2021-09-11,"member",13012
2021-09-11,"all",32278
2021-09-12,"casual",14925
2021-09-12,"member",11555
2021-09-12,"all",26480
2021-09-13,"casual",8815
2021-09-13,"member",12749
2021-09-13,"all",21564
2021-09-14,"casual",8939
2021-09-14,"member",14093
2021-09-14,"all",23032
2021-09-15,"casual",10076
2021-09-15,"member",14415
2021-09-15,"all",24491
2021-09-16,"casual",12047
2021-09-16,"member",14738
2021-09-16,"all",26785
2021-09-17,"casual",13429
2021-09-17,"member",13170
2021-09-17,"all",26599
2021-09-18,"casual",19584
2021-09-18,"member",12907
2021-09-18,"all",32491
2021-09-19,"casual",16679
2021-09-19,"member",11695
2021-09-19,"all",28374
2021-09-20,"casual",7978
2021-09-20,"member",11765
2021-09-20,"all",19743
2021-09-21,"casual",6568
2021-09-21,"member",11468
2021-09-21,"all",18036
2021-09-22,"casual",5839
2021-09-22,"member",11058
2021-09-22,"all",16897
2021-09-23,"casual",7581
2021-09-23,"member",12868
2021-09-23,"all",20449
2021-09-24,"casual",11386
2021-09-24,"member",13154
2021-09-24,"all",24540
2021-09-25,"casual",17434
2021-09-25,"member",12487
2021-09-25,"all",29921
2021-09-26,"casual",14723
2021-09-26,"member",11573
2021-09-26,"all",26296
2021-09-27,"casual",8367
2021-09-27,"member",13030
2021-09-27,"all",21397
2021-09-28,"casual",8268
2021-09-28,"member",14135
2021-09-28,"all",22403
2021-09-29,"casual",8659
2021-09-29,"member",14525
2021-09-29,"all",23184
2021-09-30,"casual",9117
2021-09-30,"member",14616
2021-09-30,"all",23733
2021-10-01,"casual",11877
2021-10-01,"member",14871
2021-10-01,"all",26748
2021-10-02,"casual",12642
2021-10-02,"member",11563
2021-10-02,"all",24205
2021-10-03,"casual",9854
2021-10-03,"member",9535
2021-10-03,"all",19389
2021-10-04,"casual",6138
2021-10-04,"member",12255
2021-10-04,"all",18393
2021-10-05,"casual",6743
2021-10-05,"member",14100
2021-10-05,"all",20843
2021-10-06,"casual",7161
2021-10-06,"member",14417
2021-10-06,"all",21578
2021-10-07,"casual",5915
2021-10-07,"member",11089
2021-10-07,"all",17004
2021-10-08,"casual",8824
2021-10-08,"member",12992
2021-10-08,"all",21816
2021-10-09,"casual",18562
2021-10-09,"member",14122
2021-10-09,"all",32684
2021-10-10,"casual",18513
2021-10-10,"member",12993
2021-10-10,"all",31506
2021-10-11,"casual",5470
2021-10-11,"member",8284
2021-10-11,"all",13754
2021-10-12,"casual",7008
2021-10-12,"member",13653
2021-10-12,"all",20661
2021-10-13,"casual",6031
2021-10-13,"member",13205
2021-10-13,"all",19236
2021-10-14,"casual",7628
2021-10-14,"member",14380
2021-10-14,"all",22008
2021-10-15,"casual",8537
2021-10-15,"member",12920
2021-10-15,"all",21457
2021-10-16,"casual",13999
2021-10-16,"member",12637
2021-10-16,"all",26636
2021-10-17,"casual",13150
2021-10-17,"member",11614
2021-10-17,"all",24764
2021-10-18,"casual",7586
2021-10-18,"member",13739
2021-10-18,"all",21325
2021-10-19,"casual",7847
2021-10-19,"member",15583
2021-10-19,"all",23430
2021-10-20,"casual",7854
2021-10-20,"member",15458
2021-10-20,"all",23312
2021-10-21,"casual",5470
2021-10-21,"member",12532
2021-10-21,"all",18002
2021-10-22,"casual",7696
2021-10-22,"member",12745
2021-10-22,"all",20441
2021-10-23,"casual",11277
2021-10-23,"member",11480
2021-10-23,"all",22757
2021-10-24,"casual",2080
2021-10-24,"member",3466
2021-10-24,"all",5546
2021-10-25,"casual",2523
2021-10-25,"member",6703
2021-10-25,"all",9226
2021-10-26,"casual",5079
2021-10-26,"member",13212
2021-10-26,"all",18291
2021-10-27,"casual",5447
2021-10-27,"member",13609
2021-10-27,"all",19056
2021-10-28,"casual",2983
2021-10-28,"member",8335
2021-10-28,"all",11318
2021-10-29,"casual",2075
2021-10-29,"member",5217
2021-10-29,"all",7292
2021-10-30,"casual",9252
2021-10-30,"member",10998
2021-10-30,"all",20250
2021-10-31,"casual",8183
2021-10-31,"member",9598
2021-10-31,"all",17781
2021-11-01,"casual",3898
2021-11-01,"member",10268
2021-11-01,"all",14166
2021-11-02,"casual",3625
2021-11-02,"member",11037
2021-11-02,"all",14662
2021-11-03,"casual",3577
2021-11-03,"member",11019
2021-11-03,"all",14596
2021-11-04,"casual",3837
2021-11-04,"member",11012
2021-11-04,"all",14849
2021-11-05,"casual",5342
2021-11-05,"member",10764
2021-11-05,"all",16106
2021-11-06,"casual",8449
2021-11-06,"member",10335
2021-11-06,"all",18784
2021-11-07,"casual",8311
2021-11-07,"member",10372
2021-11-07,"all",18683
2021-11-08,"casual",4932
2021-11-08,"member",12302
2021-11-08,"all",17234
2021-11-09,"casual",4229
2021-11-09,"member",12239
2021-11-09,"all",16468
2021-11-10,"casual",4687
2021-11-10,"member",12689
2021-11-10,"all",17376
2021-11-11,"casual",3209
2021-11-11,"member",8909
2021-11-11,"all",12118
2021-11-12,"casual",2624
2021-11-12,"member",7441
2021-11-12,"all",10065
2021-11-13,"casual",3882
2021-11-13,"member",6937
2021-11-13,"all",10819
2021-11-14,"casual",2166
2021-11-14,"member",5120
2021-11-14,"all",7286
2021-11-15,"casual",1963
2021-11-15,"member",7852
2021-11-15,"all",9815
2021-11-16,"casual",2999
2021-11-16,"member",10536
2021-11-16,"all",13535
2021-11-17,"casual",2573
2021-11-17,"member",8868
2021-11-17,"all",11441
2021-11-18,"casual",2309
2021-11-18,"member",8554
2021-11-18,"all",10863
2021-11-19,"casual",3241
2021-11-19,"member",8466
2021-11-19,"all",11707
2021-11-20,"casual",5440
2021-11-20,"member",7664
2021-11-20,"all",13104
